top,right,bottom,left,score,category,frame
26,489,474,0,0.9672646,person,47379
330,330,476,255,0.81353384,tie,47379
141,155,295,35,0.67669284,person,47379
133,247,258,138,0.56204903,person,47379
332,500,478,381,0.99818695,tie,47422
26,649,474,158,0.963423,person,47422
53,142,182,43,0.7228042,person,47422
365,275,476,135,0.5616963,chair,47422
88,563,213,437,0.82387435,person,47472
80,699,471,49,0.6914362,person,47472
322,500,479,375,0.9984975,tie,47531
20,655,471,210,0.9711392,person,47531
49,181,183,96,0.76913077,person,47531
91,562,215,456,0.8794478,person,47613
87,703,471,55,0.7199654,person,47613
73,336,443,45,0.61166537,person,47613
188,247,404,34,0.9368446,person,47891
175,111,234,69,0.79052347,person,47891
268,150,342,128,0.76805246,tie,47891
329,645,474,437,0.73364174,chair,47891
279,220,320,181,0.72348154,laptop,47891
183,472,247,425,0.7127458,person,47891
216,546,336,447,0.65782225,person,47891
182,703,249,618,0.6428785,person,47891
178,429,259,376,0.62250584,person,47891
190,77,238,46,0.6052971,person,47891
181,101,237,52,0.517526,person,47891
220,543,415,425,0.51373935,person,47891
3,719,471,435,0.90942913,person,48823
21,608,389,59,0.7974982,book,49587
179,373,258,309,0.53667825,person,49587
61,518,339,315,0.85444117,person,50085
155,205,272,102,0.7844478,tv,50085
206,719,308,646,0.757982,tv,50085
309,316,354,277,0.5830646,cup,50085
225,526,332,409,0.53114855,car,51974
86,602,412,23,0.7298683,car,52650
166,484,471,337,0.9364461,person,53731
240,618,274,554,0.6041128,car,53731
251,287,291,194,0.53101367,car,53731
255,549,292,468,0.8434037,car,54032
268,95,345,0,0.7182747,car,54032
236,390,347,359,0.5409747,person,54032
52,665,478,361,0.95908105,person,54139
133,496,475,341,0.7008904,person,54323
32,487,470,0,0.99328995,person,54594
404,341,479,250,0.93699896,tie,54594
28,644,474,290,0.9445112,person,54824
352,487,478,429,0.60380405,tie,54824
27,421,471,0,0.97465944,person,55078
26,608,473,273,0.9379089,person,55351
18,440,472,0,0.9897765,person,55624
29,579,476,280,0.897979,person,55807
36,444,475,3,0.98174435,person,55941
26,680,474,278,0.78240955,person,56058
40,457,473,3,0.98858297,person,56331
26,702,475,283,0.84949195,person,56827
30,445,473,4,0.99091995,person,57353
27,697,472,278,0.6159536,person,57799
38,607,467,277,0.59762543,dog,57799
28,454,474,3,0.9824944,person,58172
22,628,471,283,0.73790354,person,58385
39,446,474,2,0.9855356,person,58435
22,572,477,284,0.74887985,person,58579
40,457,476,5,0.96860164,person,58744
28,713,472,277,0.88587916,person,58849
63,445,473,90,0.87130404,person,59075
316,110,469,30,0.7996944,chair,59075
215,100,420,28,0.5429301,person,59075
218,262,257,238,0.65820843,person,59424
424,423,478,330,0.527298,book,59424
83,705,478,496,0.9399488,person,59829
32,259,470,74,0.9085468,person,59829
447,700,479,666,0.7713768,cup,59829
212,462,233,430,0.53520507,chair,59829
236,440,275,403,0.5040729,chair,59829
51,390,476,117,0.8642297,person,60311
67,695,462,396,0.8244442,person,60311
361,367,440,332,0.6753585,bottle,60311
177,305,352,239,0.6736537,tie,60311
188,47,225,19,0.6345452,person,60311
187,80,258,42,0.6269765,person,60311
162,181,260,155,0.59156656,person,60311
221,720,466,114,0.5452643,bench,60311
225,676,373,609,0.7531849,chair,61098
288,268,476,171,0.6937211,chair,61098
70,553,433,454,0.628727,person,61098
166,210,276,101,0.62175745,person,61098
26,606,470,432,0.72433305,person,61565
9,231,475,3,0.52666265,person,61565
34,607,473,35,0.99176335,person,61667
242,339,479,235,0.9201136,tie,61667
285,700,474,484,0.68167317,chair,61667
19,680,472,346,0.9542483,person,63078
262,354,390,249,0.85111344,chair,63078
264,482,319,388,0.5688072,chair,63078
51,649,474,258,0.9754578,person,64682
241,537,477,464,0.8940068,tie,64682
45,370,476,91,0.985494,person,64856
265,305,476,242,0.7828171,tie,64856
68,609,479,262,0.98340034,person,64974
0,715,474,267,0.69049734,person,65116
37,629,471,316,0.99603707,person,65226
257,486,471,430,0.8177089,tie,65226
32,638,472,35,0.998417,person,65341
303,310,477,230,0.98992795,tie,65341
48,628,473,309,0.9974569,person,65465
248,493,356,440,0.5842803,tie,65465
50,426,478,177,0.97566974,person,65527
33,600,473,105,0.99786204,person,65625
298,236,478,160,0.9120691,tie,65625
37,612,475,365,0.99082744,person,65734
32,609,474,0,0.9930768,person,65801
298,255,477,174,0.9390644,tie,65801
50,339,475,158,0.91143334,person,65880
36,555,476,65,0.9936402,person,65959
300,253,477,173,0.9056807,tie,65959
44,704,476,358,0.98788536,person,66072
264,475,476,410,0.812499,tie,66072
53,694,474,109,0.99637425,person,66168
336,368,478,294,0.9900505,tie,66168
62,335,478,81,0.9892863,person,66246
63,584,476,258,0.98364985,person,66406
280,539,477,467,0.8976648,tie,66406
31,396,476,139,0.98776126,person,66539
251,359,476,282,0.6113406,tie,66539
41,597,474,302,0.96142554,person,66594
47,458,472,29,0.9971111,person,66660
294,368,475,298,0.94811296,tie,66660
47,594,480,284,0.98426557,person,66742
0,129,162,1,0.8015331,person,67020
43,394,475,138,0.8520387,person,67477
1,640,476,0,0.5324932,airplane,67674
4,649,477,0,0.520423,clock,67674
45,654,463,282,0.89395475,person,67779
209,512,341,466,0.6748265,tie,67779
326,583,407,361,0.65651524,book,67779
224,201,294,23,0.5888544,book,67779
274,205,342,33,0.5735829,book,67779
216,711,449,619,0.54995954,chair,67779
43,394,477,100,0.9726325,person,67922
149,397,288,273,0.7695237,book,67922
263,544,339,403,0.66525936,book,67922
268,653,412,412,0.63084185,book,67922
75,580,317,434,0.929088,person,68154
81,398,477,220,0.7730003,person,68154
322,621,444,577,0.582774,book,68154
310,546,451,494,0.5789778,book,68154
327,601,445,564,0.5578914,book,68154
302,97,337,7,0.55245125,book,68154
313,495,454,454,0.5072512,book,68154
316,578,447,541,0.5011418,book,68154
72,434,475,129,0.97956955,person,68604
298,211,421,0,0.7137494,book,68604
59,442,470,110,0.93585145,person,68694
39,113,138,86,0.53055835,book,68694
35,139,135,99,0.5262672,book,68694
41,186,138,150,0.51453763,book,68694
34,103,136,64,0.512652,book,68694
43,601,436,234,0.9694461,person,68827
237,444,409,395,0.7558019,tie,68827
82,676,219,470,0.70400256,keyboard,68827
0,720,478,239,0.9785582,person,73381
1,447,388,14,0.8205227,tv,77819
243,710,382,551,0.5013604,book,77819
0,715,475,0,0.78433454,book,77966
127,280,428,0,0.84253466,person,78150
127,322,287,133,0.7931825,person,78150
137,568,460,332,0.7493253,person,78150
197,715,480,453,0.749025,person,78150
117,446,247,345,0.71681,person,78150
261,296,291,276,0.68872976,cup,78150
188,408,217,395,0.6802455,tie,78150
113,652,155,628,0.56393665,book,78150
113,644,155,620,0.52069825,book,78150
139,621,301,533,0.5077848,person,78150
97,57,281,0,0.500383,person,78150
29,436,475,0,0.99832046,person,78300
33,715,472,252,0.96719706,person,78366
341,520,435,379,0.91982794,tie,78366
330,600,456,373,0.5069642,tie,78366
365,413,478,325,0.994601,tie,78477
12,647,469,79,0.9913142,person,78477
15,239,53,102,0.50758266,book,78477
27,532,476,2,0.95977396,person,78590
307,646,362,606,0.8579588,cup,78590
108,714,308,633,0.5716814,person,78590
29,715,467,290,0.9929811,person,78653
306,579,476,307,0.8409485,tie,78653
367,396,478,299,0.9937401,tie,78729
9,633,473,34,0.9917433,person,78729
22,555,480,5,0.994724,person,78797
357,311,476,252,0.54779035,tie,78797
86,408,323,162,0.9302168,person,78836
47,715,473,171,0.9204029,person,78836
323,155,376,118,0.89289606,cup,78836
216,296,297,266,0.83642495,tie,78836
73,705,353,536,0.7703382,person,78836
349,484,477,415,0.6255544,tie,78836
304,646,359,607,0.93267107,cup,78874
36,612,477,31,0.88882804,person,78874
148,719,330,592,0.65191656,person,78874
29,715,469,284,0.9959418,person,78934
329,555,476,294,0.8462635,tie,78934
19,601,471,73,0.99082386,person,79011
373,442,477,350,0.9886998,tie,79011
33,455,472,19,0.99599403,person,79067
374,307,477,254,0.5210498,tie,79067
127,566,459,324,0.82338846,person,79437
116,335,279,196,0.805293,person,79437
185,716,470,434,0.79074085,person,79437
111,265,456,0,0.7902181,person,79437
121,602,288,498,0.74957114,person,79437
273,286,305,265,0.7467798,cup,79437
259,302,290,281,0.7412593,cup,79437
402,719,477,563,0.6030708,chair,79437
112,639,153,615,0.5927087,book,79437
113,654,152,627,0.5664841,book,79437
23,461,472,0,0.9925259,person,79841
79,716,473,542,0.8834242,person,79841
370,292,477,223,0.6073175,tie,79841
20,715,469,272,0.99647343,person,79931
295,576,478,293,0.95322454,tie,79931
216,300,309,259,0.853641,tie,80035
83,323,322,150,0.8504298,person,80035
29,706,475,195,0.8475385,person,80035
327,170,381,135,0.84134895,cup,80035
373,455,479,396,0.8157048,tie,80035
335,649,390,610,0.9460679,cup,80128
44,669,476,0,0.91766536,person,80128
69,484,278,339,0.69428265,person,80128
55,420,476,0,0.99250644,person,80182
301,466,478,386,0.953651,tie,80280
7,715,475,176,0.9328004,person,80280
329,170,383,134,0.9039935,cup,80280
87,387,332,165,0.8726609,person,80280
218,302,310,271,0.80773675,tie,80280
36,714,469,274,0.99243355,person,80372
309,563,479,291,0.9200665,tie,80372
30,471,474,2,0.9959738,person,80422
357,296,477,252,0.9185451,tie,80422
320,517,364,498,0.50820625,person,80422
79,363,336,131,0.93652534,person,80471
324,121,381,82,0.9256269,cup,80471
318,503,477,417,0.8969985,tie,80471
209,265,310,233,0.85876554,tie,80471
0,716,476,312,0.85216856,person,80471
380,480,477,406,0.95414233,tie,80543
64,719,469,179,0.92383313,person,80543
317,156,372,118,0.9152304,cup,80543
204,303,299,273,0.78591335,tie,80543
73,365,311,181,0.7683021,person,80543
53,720,443,502,0.5642489,person,80543
33,475,475,0,0.9936422,person,80646
363,290,477,243,0.90420914,tie,80646
24,715,474,253,0.99530613,person,80734
8,400,472,0,0.97697425,person,80790
361,288,476,178,0.82623774,tie,80790
409,344,451,312,0.80422246,clock,80790
0,664,474,56,0.98640406,person,80856
347,409,479,316,0.9847968,tie,80856
35,482,474,39,0.9896599,person,80917
48,619,476,0,0.9563153,person,81017
320,659,374,621,0.88528657,cup,81017
118,717,324,621,0.6490794,person,81017
50,625,464,331,0.51345724,person,81017
24,454,473,18,0.9807457,person,81114
383,306,479,245,0.5443002,tie,81114
322,161,376,123,0.94294775,cup,81168
29,718,475,269,0.90807307,person,81168
91,404,334,104,0.86674285,person,81168
332,253,372,166,0.5613414,bowl,81168
385,502,478,443,0.55705196,tie,81168
50,613,476,22,0.949146,person,81223
320,659,374,622,0.889501,cup,81223
57,648,467,320,0.7490758,person,81223
118,718,326,621,0.5588822,person,81223
37,714,471,281,0.99183404,person,81267
334,549,478,298,0.91669035,tie,81267
315,161,369,124,0.9069755,cup,81331
70,360,323,132,0.8017037,person,81331
214,287,301,251,0.7803436,tie,81331
19,720,469,235,0.76862586,person,81331
376,491,478,438,0.7493237,tie,81331
325,252,364,166,0.5644971,bowl,81331
26,716,474,266,0.99077106,person,81420
337,556,477,317,0.96251255,tie,81420
117,254,447,0,0.8614242,person,81937
121,335,266,211,0.7844928,person,81937
141,674,459,330,0.7581549,person,81937
132,267,291,109,0.7047715,person,81937
261,297,308,273,0.68235147,cup,81937
122,602,289,510,0.5822612,person,81937
111,654,153,629,0.5716754,book,81937
112,639,153,614,0.5654446,book,81937
397,718,476,548,0.56204975,chair,81937
128,553,394,332,0.5253663,person,81937
19,606,472,65,0.9765985,person,82446
368,412,476,328,0.74481136,tie,82446
38,716,469,285,0.99294406,person,82537
321,565,478,299,0.8636215,tie,82537
116,228,425,0,0.83481324,person,82814
264,298,303,273,0.8273636,cup,82814
117,652,469,337,0.7970331,person,82814
122,333,262,201,0.7035775,person,82814
106,271,272,126,0.67445683,person,82814
261,319,289,296,0.6569807,cup,82814
130,670,416,476,0.64539987,person,82814
112,563,420,379,0.603533,person,82814
109,654,148,628,0.59107155,book,82814
308,131,421,0,0.5817798,chair,82814
108,639,149,614,0.58020025,book,82814
122,631,342,498,0.53967035,person,82814
118,316,320,61,0.5354954,person,82814
107,628,149,606,0.5025176,book,82814
118,643,308,428,0.9164281,person,83085
287,456,328,428,0.8746407,cup,83085
270,504,315,477,0.8426101,cup,83085
400,241,478,183,0.82715595,cup,83085
315,715,476,592,0.7593601,chair,83085
300,132,441,3,0.7435788,chair,83085
164,405,339,238,0.6926983,person,83085
213,565,288,526,0.60293293,tie,83085
243,335,332,278,0.56933385,tie,83085
298,662,473,23,0.5104885,dining table,83085
189,319,282,289,0.9285406,tie,83256
109,416,289,226,0.8029498,person,83256
273,355,305,321,0.79466486,cup,83256
300,99,474,1,0.723752,chair,83256
280,720,425,634,0.6087984,chair,83256
385,544,454,485,0.5789908,cup,83256
257,155,371,96,0.57160944,chair,83256
283,132,417,3,0.53640777,chair,83256
247,671,366,583,0.51722765,chair,83256
398,563,478,489,0.5159968,cup,83256
117,461,171,434,0.5112432,book,83256
121,641,305,456,0.9034253,person,83491
286,456,327,428,0.8524686,cup,83491
400,242,477,184,0.8247322,cup,83491
166,405,340,239,0.81621623,person,83491
311,716,476,549,0.7836727,chair,83491
269,505,314,478,0.7617226,cup,83491
212,566,289,525,0.7165081,tie,83491
302,133,464,4,0.67255086,chair,83491
243,316,314,275,0.5048216,tie,83491
255,527,287,498,0.5017761,cup,83491
247,330,435,269,0.9753357,tie,83712
44,527,467,121,0.90603805,person,83712
122,640,304,455,0.9063457,person,83892
287,456,327,429,0.8365872,cup,83892
400,242,478,184,0.83102846,cup,83892
269,506,315,479,0.82301176,cup,83892
314,715,476,599,0.7476958,chair,83892
167,408,338,239,0.74586594,person,83892
212,564,289,526,0.7107821,tie,83892
302,133,454,3,0.705151,chair,83892
247,332,438,269,0.9871532,tie,84007
51,522,469,121,0.92881876,person,84007
122,641,305,455,0.9017334,person,84100
287,457,328,429,0.8372474,cup,84100
300,131,432,2,0.8062986,chair,84100
401,242,478,184,0.7981073,cup,84100
269,505,314,480,0.77983916,cup,84100
317,719,477,595,0.7418388,chair,84100
169,401,339,240,0.7071434,person,84100
211,567,289,526,0.6930016,tie,84100
72,183,346,0,0.9023725,person,84522
44,611,479,419,0.8853893,person,84522
181,416,297,320,0.69900084,person,84522
58,439,473,178,0.77214,person,85102
156,160,309,38,0.7379496,person,85102
129,562,218,522,0.70050937,person,85102
128,613,198,570,0.64057314,person,85102
354,260,478,1,0.63925457,chair,85102
169,687,463,461,0.5808736,person,85102
1,28,54,1,0.50691956,book,85102
47,589,475,385,0.92880255,person,85386
153,717,477,562,0.92033875,person,85386
87,386,475,102,0.87129134,person,85386
233,245,440,192,0.80853856,tie,85386
186,517,389,473,0.7307155,tie,85386
220,117,287,81,0.54686934,book,85386
0,209,54,154,0.5305503,book,85386
0,188,55,139,0.5272987,book,85386
289,620,466,351,0.70195496,chair,85496
119,155,266,37,0.692562,person,85496
314,260,475,0,0.6579548,chair,85496
136,697,460,484,0.6414329,person,85496
79,588,219,480,0.6388093,person,85496
243,681,353,636,0.62485623,chair,85496
248,175,279,91,0.57525355,book,85496
214,597,289,565,0.5237717,tie,85496
197,288,336,234,0.84936464,tie,85667
77,645,480,374,0.84654284,person,85667
83,437,477,79,0.77393955,person,85667
117,719,183,681,0.5687704,book,85667
61,505,214,336,0.53568697,tv,85667
65,530,407,135,0.6760059,person,85848
0,436,47,401,0.65183115,book,85848
170,640,198,534,0.5206471,book,85848
413,225,479,167,0.50630975,cup,85848
87,651,480,387,0.8356824,person,85984
62,409,458,80,0.8281292,person,85984
179,285,324,227,0.8277838,tie,85984
46,499,189,331,0.6830457,tv,85984
107,720,187,658,0.6261927,book,85984
230,720,468,270,0.55092883,couch,85984
45,546,393,111,0.64944607,person,86127
0,452,39,419,0.5772978,book,86127
161,669,189,559,0.5419642,book,86127
0,435,39,400,0.5363217,book,86127
0,464,38,431,0.50500697,book,86127
115,560,190,529,0.5027143,book,86127
86,669,480,400,0.86729133,person,86229
87,322,468,111,0.85702515,person,86229
52,530,204,353,0.82274187,tv,86229
250,720,464,113,0.5787809,couch,86229
36,459,397,161,0.8009635,person,86311
271,216,396,147,0.67214906,chair,86311
159,633,186,527,0.617566,book,86311
189,390,356,246,0.59364617,tie,86311
379,203,440,93,0.5786995,bowl,86311
0,426,38,396,0.57781374,book,86311
116,508,192,458,0.5703186,book,86311
0,407,38,371,0.5619097,book,86311
1,415,38,386,0.51157707,book,86311
38,625,477,272,0.9312936,person,86376
189,475,411,392,0.8896849,tie,86376
35,711,111,669,0.75023973,person,86376
130,640,165,560,0.53797805,chair,86376
0,457,36,427,0.6425879,book,86485
41,501,379,110,0.6280875,person,86485
1,446,36,417,0.5338364,book,86485
0,472,35,438,0.52252686,book,86485
0,436,35,400,0.51158303,book,86485
157,671,186,562,0.50667495,book,86485
48,639,480,237,0.91412294,person,86636
0,412,150,312,0.75415015,person,86636
16,704,97,651,0.732764,person,86636
175,445,256,355,0.662434,chair,86636
188,505,388,387,0.614014,tie,86636
118,638,154,561,0.6004984,chair,86636
390,634,478,517,0.5949968,chair,86636
58,409,466,90,0.9185051,person,86763
112,637,474,376,0.8378851,person,86763
171,273,318,225,0.62514573,tie,86763
105,719,186,669,0.618134,book,86763
212,644,464,93,0.5960621,couch,86763
244,717,471,334,0.57369685,couch,86763
45,535,196,334,0.5713903,tv,86763
224,527,336,491,0.5653872,tie,86763
330,508,391,412,0.5448286,remote,86763
38,592,466,410,0.92539084,person,86865
266,32,341,0,0.61579806,book,86865
171,687,474,551,0.5192765,refrigerator,86865
238,323,476,180,0.9876486,tie,86950
34,561,476,99,0.9667789,person,86950
0,713,288,414,0.6907532,tv,86950
1,712,283,416,0.5715308,microwave,86950
109,168,170,118,0.559084,book,86950
40,418,419,142,0.8175503,person,87102
0,461,44,428,0.6127628,book,87102
166,674,195,564,0.5615668,book,87102
400,225,478,171,0.53295666,cup,87102
61,450,475,116,0.9638749,person,87265
299,319,478,254,0.9189939,tie,87265
0,717,271,555,0.5653442,tv,87265
32,616,475,289,0.98418224,person,87348
271,416,478,355,0.8279617,tie,87348
106,314,180,236,0.6113931,keyboard,87348
110,116,184,45,0.51765805,book,87348
99,155,181,123,0.5164246,book,87348
388,60,466,19,0.5008521,book,87348
109,134,183,90,0.500705,book,87348
50,472,402,146,0.89810324,person,87430
203,381,375,237,0.84950215,tie,87430
173,628,203,520,0.6343688,book,87430
220,588,258,465,0.56255096,book,87430
127,518,202,489,0.54073536,book,87430
423,212,480,148,0.52148676,cup,87430
1,424,51,390,0.5144931,book,87430
10,496,41,433,0.5143871,book,87430
39,452,473,93,0.9619212,person,87487
279,323,474,245,0.93816346,tie,87487
2,719,250,562,0.5086668,tv,87487
40,622,472,312,0.98617184,person,87526
263,445,476,376,0.85713565,tie,87526
263,430,476,326,0.5991101,tie,87526
82,321,153,268,0.5310539,book,87526
363,35,439,0,0.51142746,book,87526
54,470,398,143,0.9065422,person,87582
208,380,373,234,0.78089416,tie,87582
173,627,202,518,0.6570068,book,87582
129,518,202,490,0.5637508,book,87582
422,211,480,148,0.5388205,cup,87582
0,205,49,164,0.51569265,book,87582
1,214,49,182,0.5129847,book,87582
62,575,444,456,0.87216437,person,87695
219,139,367,25,0.8655865,chair,87695
214,280,338,199,0.74641716,chair,87695
63,343,384,258,0.6417285,person,87695
210,144,297,60,0.550618,chair,87695
298,577,476,498,0.9966774,tie,88087
138,679,474,393,0.9899647,person,88087
38,358,470,0,0.9580523,person,88087
223,228,475,138,0.6030496,tie,88087
95,583,477,425,0.88792795,person,88525
327,572,477,516,0.52992696,tie,88525
0,249,427,3,0.9478929,person,88829
0,660,472,317,0.8821441,person,88829
106,299,224,240,0.77896833,person,88829
134,659,271,612,0.6391913,person,88829
118,702,280,650,0.6092584,person,88829
20,582,471,319,0.9594293,person,89066
226,506,476,408,0.9532483,tie,89066
188,383,473,2,0.94382143,person,89066
404,240,479,192,0.83698255,tie,89066
207,163,349,85,0.63289624,person,89066
268,700,376,619,0.5544021,person,89066
348,160,375,113,0.53739774,chair,89066
227,715,341,639,0.50448513,person,89066
35,718,474,230,0.96923834,person,89153
127,717,284,627,0.78333837,person,89153
53,100,230,42,0.74947083,person,89153
371,265,477,134,0.5593762,chair,89153
27,588,472,319,0.928918,person,89214
183,366,472,0,0.9080562,person,89214
234,512,472,407,0.881624,tie,89214
87,719,444,591,0.80642784,person,89214
403,234,479,187,0.74012274,tie,89214
243,569,311,541,0.50496095,person,89214
48,720,475,203,0.97340494,person,89262
55,141,220,72,0.74157476,person,89262
78,58,179,0,0.6658426,person,89262
14,510,246,438,0.531977,person,89262
34,604,471,325,0.96274555,person,89317
181,363,474,0,0.9375813,person,89317
236,511,478,413,0.88573825,tie,89317
85,716,406,594,0.85751766,person,89317
406,242,479,202,0.74641156,tie,89317
344,160,373,112,0.6292673,chair,89317
33,718,475,221,0.9768387,person,89418
59,124,227,48,0.70916647,person,89418
270,691,343,634,0.5466052,chair,89418
34,591,472,319,0.96599734,person,89518
182,364,473,0,0.9081656,person,89518
231,513,477,402,0.88467133,tie,89518
409,242,479,200,0.80037844,tie,89518
195,146,342,87,0.6636822,person,89518
259,702,364,624,0.583206,person,89518
345,159,374,111,0.5589226,chair,89518
201,67,363,5,0.55745316,person,89518
29,716,475,232,0.9620521,person,89722
205,377,263,328,0.59403276,cell phone,89722
276,693,353,630,0.517373,chair,89722
17,591,475,299,0.97120863,person,89982
390,246,479,189,0.9519033,tie,89982
165,360,476,0,0.9315573,person,89982
232,500,466,398,0.8826957,tie,89982
340,153,362,110,0.5889448,chair,89982
229,653,317,606,0.5409358,person,89982
40,720,474,236,0.9819115,person,90137
25,244,457,111,0.9004271,person,90137
135,123,221,61,0.8024199,person,90137
154,330,251,273,0.6072823,person,90137
275,706,360,626,0.5235255,chair,90137
29,614,470,308,0.97791374,person,90252
146,386,473,0,0.9571596,person,90252
380,271,479,211,0.94767666,tie,90252
230,503,459,404,0.7756269,tie,90252
216,719,335,651,0.62143505,person,90252
229,663,344,592,0.61471444,person,90252
396,718,478,668,0.55426645,chair,90252
297,316,376,280,0.5149631,bottle,90252
40,714,475,240,0.98209435,person,90338
159,327,256,271,0.6971714,person,90338
274,699,361,627,0.6755127,chair,90338
246,97,471,1,0.5807055,chair,90338
436,253,477,124,0.5074634,book,90338
28,524,471,286,0.8897184,person,90453
229,461,431,395,0.8787621,tie,90453
5,712,480,324,0.807073,person,90453
321,131,365,64,0.51555824,chair,90453
44,716,473,239,0.97586405,person,90583
109,510,474,388,0.80434966,person,90684
132,593,384,504,0.67676145,person,90684
148,303,470,162,0.9060074,person,90795
134,720,480,491,0.8678119,person,90795
107,370,373,250,0.8069506,person,90795
186,620,350,532,0.7337792,person,90795
392,378,468,298,0.6707696,chair,90795
130,462,442,365,0.6244103,person,90795
118,352,456,209,0.5618933,person,90795
192,169,286,104,0.5519439,person,90795
42,410,424,166,0.86966026,person,91175
98,619,191,531,0.8165612,person,91175
380,326,442,282,0.79391205,cup,91175
260,193,467,56,0.6627767,chair,91175
253,694,319,632,0.601336,book,91175
250,714,318,653,0.5472947,book,91175
399,312,464,103,0.5341853,book,91175
169,273,295,185,0.81463754,person,91575
147,535,349,442,0.5891036,person,91575
236,155,267,127,0.5585542,person,91575
144,529,199,497,0.69065434,person,91685
140,498,182,468,0.60632,person,91685
372,333,404,254,0.6052103,book,91685
163,357,286,255,0.5877854,person,91685
145,476,188,449,0.5594588,person,91685
219,231,259,176,0.553637,tv,91685
137,268,167,241,0.5503176,person,91685
224,644,276,613,0.52253735,book,91685
71,183,479,0,0.9641218,person,91801
35,588,472,377,0.9013843,person,91801
171,685,242,630,0.69060576,person,91801
85,718,470,0,0.5666494,book,91903
0,720,480,0,0.8332715,book,92125
403,143,480,80,0.64840114,scissors,92125
165,174,212,91,0.63756967,car,92701
64,650,144,600,0.5390858,truck,92701
132,202,185,123,0.5016327,car,92701
292,342,394,251,0.6929393,car,93059
304,460,329,420,0.6645875,car,93059
288,363,335,282,0.62589216,car,93059
303,410,330,373,0.6180879,car,93059
301,519,316,486,0.6160065,car,93059
290,588,320,570,0.59351724,person,93059
100,437,479,214,0.94799364,person,93306
27,156,480,1,0.90885127,person,93306
229,373,410,320,0.78240466,tie,93306
1,700,473,450,0.7469257,person,93306
15,580,474,297,0.9451538,person,93530
301,152,479,85,0.97799814,tie,93624
38,519,472,298,0.901139,person,93624
101,248,469,12,0.7709017,person,93624
41,568,478,275,0.97111297,person,93705
294,154,475,80,0.93305206,tie,93855
55,509,472,310,0.8616799,person,93855
124,201,470,12,0.76311517,person,93855
38,489,471,251,0.9679537,person,94019
295,145,477,73,0.97927845,tie,94176
52,515,472,302,0.8811972,person,94176
109,261,469,11,0.82975715,person,94176
38,514,473,268,0.9365566,person,94299
299,136,476,62,0.98547024,tie,94350
130,268,473,11,0.8965449,person,94350
52,496,472,304,0.82272136,person,94350
31,543,477,187,0.8714516,person,94448
301,138,476,67,0.98592395,tie,94597
48,512,471,308,0.8736466,person,94597
120,241,468,10,0.8039503,person,94597
56,518,473,280,0.8874934,person,94707
59,468,476,294,0.841486,person,94768
276,146,477,67,0.82855356,tie,94768
134,213,472,16,0.7277198,person,94768
37,488,475,272,0.8762289,person,94856
176,175,439,73,0.5006653,person,95484
295,156,476,92,0.90489244,tie,96111
57,537,467,309,0.84749544,person,96111
121,246,468,22,0.6995418,person,96111
28,598,474,314,0.9652845,person,96169
308,142,477,77,0.95740116,tie,96240
52,500,471,312,0.90150315,person,96240
103,253,474,11,0.8307127,person,96240
33,519,473,288,0.9162365,person,96363
301,141,477,74,0.95869344,tie,96507
51,529,472,338,0.83297306,person,96507
153,217,469,18,0.6380007,person,96507
55,371,475,239,0.6907286,person,96597
216,719,463,328,0.6769524,car,96756
70,720,467,416,0.8946172,person,97268
123,289,473,8,0.77159595,person,97268
260,359,352,333,0.60257477,person,97740
255,394,348,369,0.54193705,person,97740
0,703,480,0,0.55616945,person,97816
5,506,475,0,0.5205529,book,97816
223,606,437,280,0.91015565,car,97883
225,718,350,583,0.74610716,truck,97883
136,468,323,385,0.7777164,person,98039
125,525,338,466,0.71590555,person,98039
297,656,480,0,0.52252984,car,98039
83,689,474,409,0.9857831,person,98094
89,299,250,259,0.8475956,person,98094
366,694,478,607,0.5261455,handbag,98094
207,573,427,3,0.92188644,car,98254
34,602,473,288,0.96650136,person,98399
311,234,479,175,0.93802834,tie,98468
135,712,479,380,0.926558,person,98468
394,559,478,480,0.7321304,tie,98468
35,319,471,91,0.64211124,person,98468
30,582,480,263,0.9870408,person,98583
136,715,477,388,0.9748088,person,98677
401,595,479,485,0.9673714,tie,98677
21,306,470,55,0.94615984,person,98677
300,245,480,188,0.93891394,tie,98677
28,572,480,256,0.98822033,person,98854
134,695,474,371,0.96837366,person,99071
295,225,476,146,0.9490081,tie,99071
31,312,471,57,0.82608604,person,99071
387,563,477,473,0.76589143,tie,99071
43,486,475,101,0.9819579,person,99188
44,720,473,346,0.99346626,person,99267
106,300,474,0,0.9780804,person,99267
382,200,479,113,0.95136905,tie,99267
307,517,478,476,0.7261373,tie,99267
34,497,473,95,0.981503,person,99326
37,720,474,345,0.9928919,person,99438
99,282,476,0,0.9770397,person,99438
386,178,479,94,0.93832874,tie,99438
296,513,477,469,0.66846055,tie,99438
40,499,473,97,0.98639095,person,99556
31,720,475,407,0.9927347,person,99635
105,234,473,0,0.8818351,person,99635
279,524,479,478,0.7706193,tie,99635
94,370,338,189,0.9112529,person,100227
98,251,473,23,0.8696636,person,100227
103,625,454,464,0.6865237,person,100227
107,318,386,104,0.5833238,person,100227
138,662,464,475,0.5730337,chair,100227
158,530,278,445,0.5275908,potted plant,100227
186,280,243,258,0.5274596,tie,100227
328,301,347,275,0.5057838,cup,100227
137,398,476,142,0.7770387,person,101021
